ISIN,tk_data,date,close,open,high,low,volume
CA135087P816,"1,124578091,1330,184",2026-01-15 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-15 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-16 22:44,100.15,100.15,100.15,100.15,0
